[INFO] 20:39:58:207 Log/(17847:17858): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 20:39:59:186 Log/(17847:17857): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:39:59:189 Log/(17847:17857): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:39:59:197 Log/(17847:17860): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:39:59:206 Log/(17847:17860): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:39:59:208 Log/(17847:17858): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:39:59:228 Log/(17847:17858): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:40:07:235 Log/(17847:17857): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:40:07:240 Log/(17847:17857): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:40:14:246 Log/(17847:17858): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:40:14:251 Log/(17847:17858): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:40:22:259 Log/(17847:17857): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:40:22:264 Log/(17847:17857): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:40:30:271 Log/(17847:17858): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:40:30:276 Log/(17847:17858): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:40:39:282 Log/(17847:17857): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:40:39:287 Log/(17847:17857): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:41:15:226 Log/(17923:17928): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:41:15:252 Log/(17923:17928): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:41:16:225 Log/(17923:17930): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:41:16:239 Log/(17923:17930): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:41:16:259 Log/(17923:17928): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:41:16:269 Log/(17923:17928): Pagina entrante: Pid: 1, Página: 0, Marco: 1
[INFO] 20:41:17:226 Log/(17923:17929): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:41:17:228 Log/(17923:17929): Pagina entrante: Pid: 2, Página: 0, Marco: 0
[INFO] 20:41:17:242 Log/(17923:17930): Pagina víctima: Pid: 1, Página: 0, Marco: 1
[INFO] 20:41:17:247 Log/(17923:17930): Pagina entrante: Pid: 3, Página: 0, Marco: 1
[INFO] 20:41:17:272 Log/(17923:17928): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 20:41:17:278 Log/(17923:17928): Pagina entrante: Pid: 1, Página: 0, Marco: 0
[INFO] 20:41:18:238 Log/(17923:17929): Pagina víctima: Pid: 3, Página: 0, Marco: 1
[INFO] 20:41:18:244 Log/(17923:17929): Pagina entrante: Pid: 2, Página: 0, Marco: 1
[INFO] 20:41:18:252 Log/(17923:17930): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:41:18:258 Log/(17923:17930): Pagina entrante: Pid: 3, Página: 0, Marco: 0
[INFO] 20:41:18:280 Log/(17923:17928): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:41:18:281 Log/(17923:17930): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:41:18:284 Log/(17923:17930): Pagina víctima: Pid: 3, Página: 0, Marco: 0
[INFO] 20:44:39:156 Log/(18014:18027): Pagina víctima: Pid: 3, Página: 0, Marco: 2
[INFO] 20:46:09:912 Log/(18014:18027): Pagina víctima: Pid: 2, Página: 0, Marco: 1
[INFO] 20:49:14:990 Log/(18014:18027): Pagina víctima: Pid: 1, Página: 0, Marco: 0
[INFO] 20:58:56:830 Log/(18267:18273): Pagina víctima: Pid: 2, Página: 0, Marco: 0
[INFO] 21:02:29:526 Log/(18355:18360): Pagina víctima: Pid: 2, Página: 0, Marco: 0
